ORDEM;PLACA;RENAVAM;CHASSI;CARROCERIA;MOTOR;MARCA/MODELO;ANO DE FABRICAÇÃO;ANO DO MODELO;MODELO DO CHASSI;CAPACIDADE;FILTRO
1053;LTW5I92;01349161605;9BM384050RB320297;BUSUCFBSNRB113130CAIO;924971U1432701;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1054;LUS9B46;01350134659;9BM384050RB315782;BUSUCFBSNRB113131CAIO;924971U1428513;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1055;RJR9I88;01342889824;9BM384067PB311613;BUSUCFBSNPB112017CAIO;924997U1424081;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1056;LUI9H37;01350137569;9BM384050RB315797;BUSUCFBSNRB113132CAIO;924971U1428678;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1057;LUG9E98;01349152959;9BM384050RB319453;BUSUCFBSNRB113133CAIO;924971U1432634;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1058;LUQ8E64;01350129108;9BM384050RB319910;BUSUCFBSNRB113134CAIO;924971U1432600;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1059;LUI9H59;01350138611;9BM384050RB320108;BUSUCFBSNRB113135CAIO;924971U1432580;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1060;SQW1B50;01364456769;9BM384050RB320109;BUSUCFBSNRB113136CAIO;924971U1432591;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1061;LUA9J52;01350133024;9BM384050RB317658;BUSUCFBSNRB113251CAIO;924971U1431759;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1062;LUI9H39;01350139383;9BM384050RB318520;BUSUCFBSNRB113252CAIO;924971U1432331;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1063;LUI8A63;01349170868;9BM384050RB320125;BUSUCFBSNRB113121CAIO;924971I1432424;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1064;LUG9E96;01349151936;9BM384050RB320126;BUSUCFBSNRB113122CAIO;924971U1432520;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1065;LUG9F03;01349161672;9BM384050RB320129;BUSUCFBSNRB113123CAIO;924971U1432643;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1066;LUA9C17;01349159511;9BM384050RB320134;BUSUCFBSNRB113124CAIO;924971U1432668;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1067;RKP7H11;01317024211;9BM384067PB279218;BUSUCFBSNPB108182CAIO;924997U1395175;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1068;RJS6H32;01301323397;9BM384067PB266067;BUSUCFBSNPB107116CAIO;924997U1382051;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1069;RKN6E70;01300603795;9BM384067PB266000;BUSUCFBSNPB107117CAIO;924997U1381838;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1070;SRP0D61;01362770466;9BM384050RB320135;BUSUCFBSNRB113125CAIO;924971U1432653;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1619;44 PASSAGEIROS;CAIO
1071;LUO6E24;01347337277;9BM384055RB317218;BUSUCFBSNRB112921CAIO;924971U1429512;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1072;LUE7G41;01347439754;9BM384055RB317285;BUSUCFBSNRB112922CAIO;924971U1430798;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1073;LTY8H99;01338248100;9BM384055RB315888;BUSUCFBSNRB112822CAIO;924971U1426881;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1074;RJE8J33;01340239792;9BM384067PB295466;BUSUCFBSNPB110092CAIO;924997U1409695;M.BENZ/INDUSCAR APACHE V;2022;2023;OF 1519;42 PASSAGEIROS;CAIO
1075;LUK7E99;01338247163;9BM384055RB315884;BUSUCFBSNRB112823CAIO;924971U1424663;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1076;LUC6G64;01347338575;9BM384055RB315856;BUSUCFBSNRB112824CAIO;924971U1428634;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1077;LUA6A03;01338548589;9BM384055RB315878;BUSUCFBSNRB112825CAIO;924971U1428671;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
1078;LTW4G03;01338734455;9BM384055RB315880;BUSUCFBSNRB112826CAIO;924971U1428855;M.BENZ/INDUSCAR APACHE V;2023;2024;OF 1721;50 PASSAGEIROS;CAIO
